Timestamp,Machine,Voltage,Current,Power,Energy,PowerFactor,Frequency,Temperature,Status
2026-07-15T06:32:36.865314+00:00,Knockout,414.47,20.06,14.11,406.24,0.955,50.0,49.01,Running
2026-07-15T06:32:36.865447+00:00,BC1,414.86,19.5,13.66,307.45,0.95,49.99,50.34,Running
2026-07-15T06:32:36.865560+00:00,BC2,415.36,20.07,12.99,153.57,0.944,49.99,51.19,Running
2026-07-15T06:32:36.865671+00:00,BC5,416.22,19.81,13.76,487.67,0.952,50.01,49.94,Running
2026-07-15T06:32:36.865783+00:00,Blower,414.63,20.25,13.24,143.28,0.957,50.04,49.4,Running
2026-07-15T06:32:36.865892+00:00,Rotor,414.57,19.61,13.21,163.91,0.95,50.0,51.01,Running
2026-07-15T06:32:36.866000+00:00,Pump,415.82,19.85,13.16,484.49,0.953,50.0,49.83,Running
2026-07-15T06:32:36.866109+00:00,SF900,415.36,5.0,3.8,188.18,0.955,50.01,50.12,Fault
2026-07-15T06:32:36.866216+00:00,Crusher,414.46,13.84,9.22,247.2,0.95,50.0,49.33,Idle
2026-07-15T06:32:36.866321+00:00,Conveyor,414.77,18.4,12.49,424.16,0.941,50.0,50.01,Running
2026-07-15T06:32:41.118573+00:00,Knockout,413.73,19.22,13.07,406.25,0.961,49.98,49.73,Running
2026-07-15T06:32:41.118672+00:00,BC1,414.91,19.51,13.36,307.46,0.942,49.98,50.46,Running
2026-07-15T06:32:41.118757+00:00,BC2,415.07,18.05,12.12,153.57,0.945,50.01,52.59,Running
2026-07-15T06:32:41.118850+00:00,BC5,416.22,20.46,15.05,487.68,0.954,50.03,49.88,Running
2026-07-15T06:32:41.118933+00:00,Blower,414.57,21.83,13.49,143.28,0.955,50.04,49.14,Running
2026-07-15T06:32:41.119013+00:00,Rotor,414.56,20.44,13.6,163.91,0.947,50.02,49.97,Running
2026-07-15T06:32:41.119093+00:00,Pump,415.91,20.0,13.6,484.49,0.952,49.99,50.82,Running
2026-07-15T06:32:41.119185+00:00,SF900,415.59,5.0,4.4,188.18,0.951,50.03,51.2,Fault
2026-07-15T06:32:41.119702+00:00,Crusher,414.02,9.3,5.72,247.2,0.942,50.0,49.04,Idle
2026-07-15T06:32:41.119818+00:00,Conveyor,415.15,18.32,13.13,424.16,0.94,50.01,49.13,Running
2026-07-15T06:32:47.223549+00:00,Knockout,413.72,18.96,14.46,406.25,0.952,49.96,50.1,Running
2026-07-15T06:32:47.223696+00:00,BC1,415.39,19.96,12.08,307.46,0.942,49.97,49.94,Running
2026-07-15T06:32:47.223829+00:00,BC2,416.38,18.08,11.94,153.58,0.947,49.98,51.72,Running
2026-07-15T06:32:47.223964+00:00,BC5,416.28,20.54,14.35,487.68,0.958,50.02,49.37,Running
2026-07-15T06:32:47.224108+00:00,Blower,415.02,5.22,3.01,143.29,0.952,50.05,48.18,Maintenance
2026-07-15T06:32:47.224258+00:00,Rotor,414.6,19.52,13.14,163.92,0.943,50.02,49.35,Running
2026-07-15T06:32:47.224391+00:00,Pump,415.34,19.66,13.07,484.5,0.958,49.96,51.73,Running
2026-07-15T06:32:47.224517+00:00,SF900,415.8,6.03,3.32,188.19,0.946,50.07,51.03,Idle
2026-07-15T06:32:47.224616+00:00,Crusher,414.24,5.0,4.24,247.2,0.951,49.98,47.12,Idle
2026-07-15T06:32:47.224709+00:00,Conveyor,414.73,18.64,13.43,424.17,0.945,50.0,49.79,Running
2026-07-15T06:32:53.316356+00:00,Knockout,413.26,19.43,13.79,406.26,0.958,50.0,49.8,Running
2026-07-15T06:32:53.316478+00:00,BC1,415.42,18.96,11.92,307.47,0.942,49.95,49.96,Running
2026-07-15T06:32:53.316588+00:00,BC2,416.62,18.16,12.94,153.59,0.947,50.0,51.38,Running
2026-07-15T06:32:53.316721+00:00,BC5,415.29,19.96,13.89,487.69,0.957,49.99,48.91,Running
2026-07-15T06:32:53.316897+00:00,Blower,415.91,5.0,2.0,143.29,0.949,50.0,48.54,Maintenance
2026-07-15T06:32:53.316997+00:00,Rotor,414.49,18.37,13.49,163.93,0.946,50.05,49.87,Running
2026-07-15T06:32:53.317092+00:00,Pump,415.09,19.67,12.93,484.51,0.953,49.98,50.57,Running
2026-07-15T06:32:53.317207+00:00,SF900,415.59,5.54,2.55,188.19,0.941,50.09,50.46,Running
2026-07-15T06:32:53.317313+00:00,Crusher,414.16,6.24,2.17,247.2,0.948,49.95,46.84,Idle
2026-07-15T06:32:53.317409+00:00,Conveyor,414.04,18.35,15.21,424.18,0.946,49.97,50.28,Running
2026-07-15T06:32:59.428329+00:00,Knockout,412.84,19.9,14.31,406.27,0.952,49.99,50.21,Running
2026-07-15T06:32:59.428471+00:00,BC1,415.46,19.38,11.16,307.47,0.932,49.92,49.04,Running
2026-07-15T06:32:59.428592+00:00,BC2,416.83,17.73,12.68,153.59,0.95,49.99,51.43,Running
2026-07-15T06:32:59.428712+00:00,BC5,414.59,21.45,13.23,487.7,0.958,49.98,48.55,Running
2026-07-15T06:32:59.428847+00:00,Blower,416.15,5.0,2.0,143.29,0.953,50.0,48.61,Running
2026-07-15T06:32:59.428965+00:00,Rotor,414.34,16.36,13.7,163.94,0.945,50.1,50.4,Running
2026-07-15T06:32:59.429081+00:00,Pump,414.55,19.22,12.87,484.52,0.942,50.0,49.58,Running
2026-07-15T06:32:59.429185+00:00,SF900,416.09,5.1,2.0,188.19,0.942,50.1,49.98,Running
2026-07-15T06:32:59.429280+00:00,Crusher,413.95,6.9,2.96,247.2,0.948,49.94,48.11,Running
2026-07-15T06:32:59.429372+00:00,Conveyor,414.61,18.21,14.68,424.19,0.95,49.97,50.49,Running
2026-07-15T06:33:05.534520+00:00,Knockout,413.26,19.56,15.56,406.28,0.957,49.98,50.56,Running
2026-07-15T06:33:05.534704+00:00,BC1,415.73,20.5,11.73,307.48,0.933,49.94,47.49,Running
2026-07-15T06:33:05.534832+00:00,BC2,416.67,19.42,13.11,153.6,0.957,49.95,52.38,Running
2026-07-15T06:33:05.535131+00:00,BC5,415.33,21.59,13.03,487.71,0.951,49.94,48.59,Running
2026-07-15T06:33:05.535265+00:00,Blower,415.83,7.7,3.35,143.29,0.953,49.99,49.31,Running
2026-07-15T06:33:05.535355+00:00,Rotor,415.14,16.38,13.73,163.94,0.939,50.1,50.25,Running
2026-07-15T06:33:05.535439+00:00,Pump,414.11,18.53,11.94,484.52,0.943,50.02,50.12,Running
2026-07-15T06:33:05.535525+00:00,SF900,417.09,5.67,3.03,188.19,0.942,50.16,49.46,Running
2026-07-15T06:33:05.535622+00:00,Crusher,414.75,9.66,3.11,247.21,0.945,49.93,47.39,Running
2026-07-15T06:33:05.535713+00:00,Conveyor,414.74,19.02,15.04,424.2,0.949,49.96,50.56,Running
2026-07-15T06:33:11.627569+00:00,Knockout,413.05,21.42,15.66,406.29,0.962,49.96,50.64,Running
2026-07-15T06:33:11.627691+00:00,BC1,416.56,20.59,11.71,307.49,0.933,49.95,47.16,Running
2026-07-15T06:33:11.627802+00:00,BC2,416.47,19.21,12.73,153.61,0.944,49.98,51.69,Running
2026-07-15T06:33:11.627918+00:00,BC5,415.83,5.0,3.06,487.71,0.95,49.96,48.99,Fault
2026-07-15T06:33:11.628014+00:00,Blower,416.88,9.12,3.81,143.29,0.955,49.99,49.22,Running
2026-07-15T06:33:11.628102+00:00,Rotor,414.82,11.29,10.03,163.95,0.937,50.08,49.37,Idle
2026-07-15T06:33:11.628184+00:00,Pump,413.75,19.14,10.89,484.53,0.942,50.02,50.43,Running
2026-07-15T06:33:11.628267+00:00,SF900,417.35,6.38,4.06,188.19,0.949,50.13,49.49,Running
2026-07-15T06:33:11.628350+00:00,Crusher,414.35,9.08,3.99,247.21,0.937,49.9,46.4,Running
2026-07-15T06:33:11.628434+00:00,Conveyor,414.96,21.53,15.58,424.21,0.953,49.96,49.56,Running
2026-07-15T06:33:17.730969+00:00,Knockout,413.72,22.89,15.11,406.29,0.953,50.0,50.97,Running
2026-07-15T06:33:17.731087+00:00,BC1,416.13,19.15,11.19,307.49,0.937,49.95,48.22,Running
2026-07-15T06:33:17.731190+00:00,BC2,415.97,18.54,12.03,153.62,0.94,49.97,51.61,Running
2026-07-15T06:33:17.731302+00:00,BC5,415.09,5.28,2.0,487.71,0.944,49.94,48.18,Fault
2026-07-15T06:33:17.731404+00:00,Blower,416.33,8.72,3.62,143.29,0.949,50.0,48.85,Running
2026-07-15T06:33:17.731511+00:00,Rotor,414.94,12.9,10.28,163.96,0.942,50.08,48.27,Running
2026-07-15T06:33:17.731614+00:00,Pump,413.69,5.0,2.93,484.53,0.938,50.04,48.66,Maintenance
2026-07-15T06:33:17.731713+00:00,SF900,417.34,7.79,4.2,188.2,0.956,50.13,50.29,Running
2026-07-15T06:33:17.731796+00:00,Crusher,414.22,10.95,5.27,247.21,0.944,49.93,47.76,Running
2026-07-15T06:33:17.731874+00:00,Conveyor,415.16,20.69,15.01,424.21,0.948,49.97,50.58,Running
2026-07-15T06:33:23.844953+00:00,Knockout,413.42,23.5,13.85,406.3,0.952,49.98,51.65,Running
2026-07-15T06:33:23.845106+00:00,BC1,415.98,20.09,11.25,307.5,0.939,49.96,47.85,Running
2026-07-15T06:33:23.845241+00:00,BC2,415.94,18.01,12.46,153.62,0.938,49.96,50.66,Running
2026-07-15T06:33:23.845436+00:00,BC5,414.78,5.56,2.0,487.71,0.939,49.93,47.95,Fault
2026-07-15T06:33:23.845570+00:00,Blower,415.67,8.7,3.05,143.3,0.944,50.02,48.66,Running
2026-07-15T06:33:23.845673+00:00,Rotor,415.37,13.84,10.23,163.96,0.946,50.07,50.3,Running
2026-07-15T06:33:23.845777+00:00,Pump,413.09,5.0,2.0,484.53,0.938,50.02,48.9,Maintenance
2026-07-15T06:33:23.845896+00:00,SF900,417.73,5.78,5.47,188.2,0.958,50.14,49.3,Running
2026-07-15T06:33:23.845992+00:00,Crusher,413.95,9.82,5.1,247.21,0.948,49.89,48.12,Running
2026-07-15T06:33:23.846085+00:00,Conveyor,415.16,19.44,15.05,424.22,0.949,50.0,49.83,Running
2026-07-15T06:33:29.945569+00:00,Knockout,413.42,22.26,15.15,406.31,0.951,49.97,51.22,Running
2026-07-15T06:33:29.945719+00:00,BC1,414.73,20.18,11.02,307.51,0.95,49.96,47.74,Running
2026-07-15T06:33:29.945854+00:00,BC2,416.16,12.76,7.97,153.63,0.931,49.98,51.26,Idle
2026-07-15T06:33:29.946000+00:00,BC5,415.45,5.0,2.04,487.71,0.933,49.94,49.48,Fault
2026-07-15T06:33:29.946130+00:00,Blower,414.64,8.76,3.47,143.3,0.938,50.02,49.27,Running
2026-07-15T06:33:29.946260+00:00,Rotor,415.31,14.58,9.94,163.97,0.944,50.05,51.38,Running
2026-07-15T06:33:29.946394+00:00,Pump,413.38,6.47,3.37,484.53,0.938,50.03,48.02,Maintenance
2026-07-15T06:33:29.946519+00:00,SF900,418.16,5.69,5.88,188.2,0.961,50.14,50.9,Running
2026-07-15T06:33:29.946613+00:00,Crusher,415.01,10.97,5.03,247.22,0.951,49.93,49.21,Running
2026-07-15T06:33:29.946706+00:00,Conveyor,414.71,19.24,14.25,424.23,0.957,50.0,50.64,Running
2026-07-15T06:33:36.042537+00:00,Knockout,413.38,22.88,15.3,406.32,0.944,49.99,51.62,Running
2026-07-15T06:33:36.042690+00:00,BC1,414.12,20.56,11.74,307.51,0.951,49.95,47.87,Running
2026-07-15T06:33:36.042827+00:00,BC2,416.77,9.75,5.87,153.63,0.926,50.02,50.78,Idle
2026-07-15T06:33:36.042982+00:00,BC5,415.38,5.51,2.59,487.71,0.941,49.91,49.37,Fault
2026-07-15T06:33:36.043137+00:00,Blower,414.65,8.79,2.29,143.3,0.933,50.01,48.49,Running
2026-07-15T06:33:36.043265+00:00,Rotor,416.13,14.73,8.59,163.97,0.94,50.02,51.75,Running
2026-07-15T06:33:36.043366+00:00,Pump,413.27,6.25,2.57,484.54,0.94,50.03,48.37,Maintenance
2026-07-15T06:33:36.043473+00:00,SF900,418.88,5.0,6.3,188.2,0.962,50.11,51.07,Running
2026-07-15T06:33:36.043569+00:00,Crusher,415.14,8.2,4.86,247.22,0.951,49.93,48.89,Idle
